variable,estimate,p_value,adj_r2,rmse,district,theme
total_hhd_availing_pmjdy_bank_ac,0.009761567464376758,1.1573067509878005e-9,0.03369493698797155,12.788444222528945,ahmadnagar,Others
total_hhd_registered_under_pmjay,0.012265618400384646,4.34093521207504e-6,0.018942414480027314,12.885694661853577,ahmadnagar,Others
total_no_of_beneficiaries_receiv,0.11372705653857222,3.0036829004105018e-6,0.019601009569083838,12.881368779209,ahmadnagar,Others
total_no_of_farmers_received_ben,0.005059637595670553,9.3537514917511e-5,0.013473603198149164,12.92155978326973,ahmadnagar,Others
total_shg,0.00810503980929275,0.4360823129158933,-3.7332725080485574e-4,13.011927593985606,ahmadnagar,Others
total_shg_accessed_bank_loans,0.030952025610568198,0.06372854519560717,0.0023164193218675466,12.99442295643642,ahmadnagar,Others
total_hhd_having_pmsbhgy_benefit,0.007514071414049316,0.007682589178882154,0.005791020659474677,12.971775586133322,ahmadnagar,Others
total_hhd_got_benefit_under_stat,0.01686763947714896,0.01088191247819501,0.005203199891531951,12.975609766122767,ahmadnagar,Others
gp_total_no_of_eligible_benefici,0.009285013274113376,1.337145809465062e-4,0.01284088659272098,12.925702792014492,ahmadnagar,Others
total_no_of_farmers_subscribed_a,0.002323885231971539,0.32831520644441226,-4.138771444073264e-5,13.009768634201858,ahmadnagar,Others
availability_of_high_school,8.11007509829795,5.420881737572595e-10,0.07422582908124253,12.192198572187703,akola,Education
availability_of_middle_school,6.5142146591992836,1.8341900452018306e-8,0.061085428551314824,12.278421471875252,akola,Education
no_of_children_not_attending_sch,0.021890150396562082,0.0025045717742795607,0.016591107750435485,12.565985750938177,akola,Education
total_minority_children_getting_,0.018491924092329408,9.960474098588275e-7,0.04605416352295033,12.376315040713612,akola,Education
availability_of_mid_day_meal_sch,2.971170895722089,0.13487786509570926,0.002540432556053518,12.655437040711787,akola,Education
is_vocational_edu_centre_availab,17.753674139446755,1.3393809666803894e-6,0.044935957924408965,12.383566611532776,akola,Education
availability_of_adult_edu_centre,-0.3727483722536068,0.9386296600052915,-0.00204117853420116,12.684468724221425,akola,Education
availability_of_ssc_school,8.882121459992103,7.029854643800391e-8,0.056042307502347954,12.311352391019625,akola,Education
is_early_childhood_edu_provided_,3.4508258060911565,0.08549116152996247,0.004019315010328373,12.646051774968466,akola,Education
availability_of_govt_degree_coll,3.23425139159233,0.4495665233198003,-8.764473915510163e-4,12.677094630354487,akola,Education
availability_of_public_library,2.3247002449573153,0.0976264046528188,0.0035823561836589857,12.648825522536352,akola,Education
total_no_of_pregnant_women,0.09450597011991312,1.4865928604132449e-5,0.035840704694821035,12.442392399876251,akola,Health
total_no_of_women_delivered_babi,0.10225847461403044,7.330179091448945e-5,0.02981505003582552,12.48121211833746,akola,Health
total_anemic_pregnant_women,0.23554664814132145,0.13962251872619844,0.0024310862274585787,12.656130696725024,akola,Health
total_no_of_newly_born_children,0.0972239515084604,5.821317386926121e-6,0.03938440755028172,12.419505761359071,akola,Health
total_no_of_newly_born_underweig,0.30169361477645146,0.10377581133841354,0.0033829274144472343,12.650091263621583,akola,Health
total_underweight_child_age_unde,0.0324076975867969,0.36576561886215353,-3.699549317837114e-4,12.673886609334108,akola,Health
total_no_of_lactating_mothers,0.0930914704035715,4.179676535773933e-5,0.031935253032990496,12.467566690838087,akola,Health
total_anemic_adolescent_girls,-0.02219553607130357,0.6235556600101857,-0.0015573214710380423,12.681405870619534,akola,Health
phc,-0.0891668072049971,0.9727575680112175,-0.00205098600901521,12.684530798667971,akola,Health
sub_centre,7.7388298895128464,7.03180991738841e-6,0.03867033649338414,12.424120907214457,akola,Health
chc,2.369226983583955,0.10264105913264199,0.0034187425179500464,12.649863960472324,akola,Health
availability_of_mother_child_hea,1.357756696193222,0.2684472113511072,4.6590246048117123e-4,12.668590680791901,akola,Health
total_hhd_having_piped_water_con,0.010092526066254734,2.635168050982004e-7,0.05106925945822649,12.343739711633575,akola,Facilities
no_electricity,4.6655221982501,0.6045684528826973,-0.0015012054310012957,12.681050603760351,akola,Facilities
is_bank_available,10.761513046041465,2.7861919130094017e-10,0.0766953428891396,12.175926294674948,akola,Facilities
public_transport,5.28043713493525,0.032489087365162865,0.007320548184700737,12.625076359792574,akola,Facilities
telephone_services,4.354890593408679,0.0447713132813542,0.006207332700829071,12.63215341393312,akola,Facilities
is_broadband_available,4.508992580505696,2.3923875060369472e-4,0.02535985979620814,12.50983680646011,akola,Facilities
weekly_haat,4.849615684503141,3.847552295717662e-5,0.03224790167835612,12.465553249782447,akola,Facilities
any_primary_sch_toilet,2.730287815937638,0.295441176990854,1.9876619161529607e-4,12.670283476448466,akola,Facilities
is_primary_school_with_computer_,-0.4056250388399799,0.7246691806004648,-0.001797886324170106,12.682928757682422,akola,Facilities
is_village_connected_to_all_weat,4.606099697132486,2.5908751282775603e-4,0.025060282237762355,12.511759248536075,akola,Facilities
is_atm_available,12.018139285435437,7.324263592219149e-10,0.07310773083028044,12.199558878186757,akola,Facilities
recreational_centre,4.078982010869709,6.911437013573317e-4,0.02138153593082559,12.535342373711147,akola,Facilities
total_hhd_having_bpl_cards,0.012805705378217801,3.6521099324851305e-8,0.05850218604017743,12.295300725138807,akola,Others
gp_total_hhd_receiving_food_grai,0.00652768993129953,0.001100588911441564,0.01964461784365812,12.546461727818086,akola,Others
total_hhd_availing_pmjdy_bank_ac,0.011456413621134165,2.3129101741919054e-9,0.0688267724463435,12.227698955374665,akola,Others
total_hhd_registered_under_pmjay,0.01145976130164262,1.2919147590972563e-5,0.03637120204379607,12.438968917670433,akola,Others
total_no_of_beneficiaries_receiv,0.22116992185644488,1.3698776831147028e-4,0.027457975182554994,12.496364540749212,akola,Others
total_no_of_farmers_received_ben,0.012405977115447213,2.3824409382057806e-6,0.04276061511035434,12.397661572440326,akola,Others
total_shg,0.13753997189912107,3.072496140972114e-7,0.0504906433513298,12.347502472117759,akola,Others
total_shg_accessed_bank_loans,0.23631360248357902,0.0016318339682368057,0.018179102105096323,12.555835966475803,akola,Others
total_hhd_having_pmsbhgy_benefit,0.046524564332422,4.300253745519399e-10,0.07508561375095646,12.186535689841747,akola,Others
total_hhd_got_benefit_under_stat,0.07724438473390212,3.911162136604149e-14,0.10912246271654225,11.960201645197033,akola,Others
gp_total_no_of_eligible_benefici,0.01360831000758831,2.6971290895943557e-5,0.03358971865117255,12.456908322573298,akola,Others
total_no_of_farmers_subscribed_a,0.0023757160185588627,0.5025244233661641,-0.0011277643122782344,12.678686119705155,akola,Others
availability_of_high_school,6.091812851671136,4.730461415907272e-8,0.032243375353112724,13.661487048081726,amravati,Education
availability_of_middle_school,6.126292872688136,3.933660218283885e-11,0.04733382801956587,13.554555194848955,amravati,Education
no_of_children_not_attending_sch,0.036176889239888266,0.06682223106333843,0.002680356941720863,13.868582831552553,amravati,Education
total_minority_children_getting_,0.019246235940387147,1.7119515502299853e-7,0.029499143164062658,13.680843026488494,amravati,Education
availability_of_mid_day_meal_sch,2.0364853138812262,0.2559370425444187,3.316531154045066e-4,13.884903596283467,amravati,Education
is_vocational_edu_centre_availab,0.3645181921917957,0.8585582323009248,-0.0011002132843882517,13.89484399945204,amravati,Education
availability_of_adult_edu_centre,0.6241697888468513,0.7894136008370087,-0.0010551746808435958,13.894531437632224,amravati,Education
availability_of_ssc_school,6.795595196690332,1.550188609148054e-6,0.024799100620090164,13.713930520131576,amravati,Education
is_early_childhood_edu_provided_,-0.11127444400233279,0.9601220654722229,-0.0011335178404487944,13.895075124046794,amravati,Education
availability_of_govt_degree_coll,3.5377447555443813,0.08344631515997475,0.0022687146894757593,13.87144465511583,amravati,Education
availability_of_primary_school,15.41625497345548,0.2680090338187853,2.5925484153377365e-4,13.885406375458437,amravati,Education
availability_of_public_library,6.04650509191911,7.468427472476402e-8,0.031269112726339365,13.668361983248513,amravati,Education
total_no_of_pregnant_women,0.013070818562710954,0.040537062590706906,0.0036277381762135352,13.861994193229437,amravati,Health
total_no_of_women_delivered_babi,0.17902780338209193,1.6998363745975468e-6,0.024602638866193183,13.715311839182435,amravati,Health
total_anemic_pregnant_women,0.1523329818131847,0.010413719154692715,0.006306183463763326,13.84334976669949,amravati,Health
total_no_of_newly_born_children,0.09205882580838605,3.955679309722466e-6,0.02280286433132961,13.727959552667244,amravati,Health
total_no_of_newly_born_underweig,0.33359992167188784,0.0027143061161788414,0.009045069432590092,13.824258615033905,amravati,Health
total_underweight_child_age_unde,0.10293014853817792,2.2782577224465224e-8,0.033801780285607874,13.6504828833023,amravati,Health
total_no_of_lactating_mothers,0.17852262215290288,7.605127202533722e-10,0.0410440167059285,13.599227367787025,amravati,Health
total_anemic_adolescent_girls,0.03660873144507669,0.06998031869859721,0.002594259962015566,13.869181444712368,amravati,Health
phc,0.022301411348311085,0.9949315369271468,-0.0011363177022221116,13.89509455415366,amravati,Health
sub_centre,4.053330357969996,0.001846572463323875,0.00984012500377629,13.81871181419554,amravati,Health
chc,6.504577650814463,1.3584447491258433e-7,0.02999266454734928,13.67736407687986,amravati,Health
availability_of_mother_child_hea,3.176345544037855,7.021815959352418e-4,0.011850305571522779,13.804677606450761,amravati,Health
total_hhd_having_piped_water_con,0.00894097404138565,1.0002009987149308e-11,0.0502339795326574,13.533907759219492,amravati,Facilities
no_electricity,-3.260942569800851,0.40153707947647643,-3.3564034295241463e-4,13.889537012807166,amravati,Facilities
is_bank_available,9.744566825853042,1.2127197453817262e-12,0.054691539200629635,13.502110899981444,amravati,Facilities
public_transport,3.3065085084933936,0.021548828643026957,0.004857956161555599,13.853433867745506,amravati,Facilities
telephone_services,-0.24193955209856943,0.8716568115176622,-0.0011066546271250033,13.894888700925137,amravati,Facilities
is_broadband_available,3.191926670579979,0.001411310221303575,0.010397063290462194,13.814824940770885,amravati,Facilities
