variable,estimate,std_error,t_value,p_value,district
no_of_children_not_attending_sch,0.04509151520508211,0.006264724003416238,7.19768583268682,1.2173557043549796e-12,nanded
total_hhd_registered_under_pmjay,0.010297570595507602,0.00429024221113733,2.4002305904257435,0.01657042403284229,nanded
total_no_of_beneficiaries_receiv,-0.11975733560154463,0.03769295645197416,-3.1771807487197616,0.0015336653562760694,nanded
total_no_of_newly_born_children,0.07469063131304358,0.022082289470292695,3.3823771495036734,7.470353798659453e-4,nanded
total_underweight_child_age_unde,0.03743253721618398,0.013766099150454384,2.719182595379493,0.0066600152352241995,nanded
availability_of_mother_child_hea,3.760057223684549,1.2285395097473581,3.060591209197482,0.0023137140643990526,nandurbar
availability_of_ssc_school,-4.1580678579343004,1.9887724090143533,-2.090771090290348,0.036994013820995264,nandurbar
chc,-3.877262139638324,1.664664118704488,-2.3291558315414242,0.020201820494283727,nandurbar
recreational_centre,-2.4991215488758516,1.1722294669446178,-2.131938856126642,0.03344182660177316,nandurbar
sub_centre,-3.1440386500901747,1.5055266692043168,-2.088331422087544,0.03721427367272204,nandurbar
total_hhd_availing_pmjdy_bank_ac,0.014381111821107052,0.004037924333651943,3.561510972668628,3.997714929182884e-4,nandurbar
total_hhd_having_bpl_cards,0.01997015533141405,0.00410340987453753,4.866722053610295,1.4733914922170497e-6,nandurbar
total_hhd_having_pmsbhgy_benefit,-0.013601783300341447,0.005542309175251162,-2.4541725967001926,0.014421032964850566,nandurbar
availability_of_mid_day_meal_sch,6.813967470579662,1.3859359483010565,4.916509654672378,9.982119760911957e-7,nashik
availability_of_middle_school,4.061370327671715,0.8354281507420054,4.861423838859766,1.3135491409744506e-6,nashik
availability_of_mother_child_hea,-2.5912819978786428,0.7966990619580795,-3.252522968346347,0.0011744315074523521,nashik
gp_total_hhd_receiving_food_grai,-0.004809873200292539,0.002357414443291349,-2.0403171847785675,0.04152870936299076,nashik
is_atm_available,-3.8819779645069215,1.9185629640419553,-2.0233779329965373,0.04324682999190626,nashik
is_bank_available,3.5528893332017875,1.6221341790479027,2.1902561323793353,0.02869003440841131,nashik
is_early_childhood_edu_provided_,7.187387640788369,2.0412287264712705,3.521108412585104,4.4522582164052975e-4,nashik
is_primary_school_with_computer_,-2.342280015905146,0.7836826121921933,-2.9888120260229996,0.0028553893412143765,nashik
total_hhd_availing_pmjdy_bank_ac,0.010620991374336052,0.0021577590787797978,4.9222322727253545,9.699926584449007e-7,nashik
total_hhd_having_piped_water_con,0.004142624386085148,0.00182804738923327,2.2661471526855066,0.023612889784367548,nashik
total_no_of_farmers_subscribed_a,-0.00622739186250727,0.0030904904126117776,-2.015017369765756,0.044116757155427885,nashik
total_no_of_newly_born_underweig,0.23939638004977018,0.0847732253717209,2.8239621531449868,0.004818762822885892,nashik
is_atm_available,-7.617338498844669,2.7197607045178303,-2.800738493717998,0.005317215037353488,osmanabad
no_of_children_not_attending_sch,0.04219174087117991,0.01347621521508841,3.13083014761746,0.0018561436027471584,osmanabad
total_hhd_having_pmsbhgy_benefit,0.022890754380833926,0.009100300681538406,2.515384401228844,0.012236022571007206,osmanabad
total_minority_children_getting_,-0.025553228430685988,0.012623181995713358,-2.0243095947886576,0.0435259058227824,osmanabad
total_no_of_farmers_subscribed_a,-0.008237618384129277,0.0033413254169687608,-2.4653744715480053,0.014057561517398617,osmanabad
total_no_of_newly_born_underweig,0.23394070806932243,0.04408160381150455,5.306991757143552,1.7498084974026707e-7,osmanabad
weekly_haat,4.183569881453815,1.8498198253020064,2.2616093871579057,0.024195897284821938,osmanabad
availability_of_govt_degree_coll,-7.615944450678499,3.8088793449376657,-1.9995236816311224,0.0460597742660861,parbhani
availability_of_primary_school,-1364.2598356773394,263.48170718718177,-5.177816138515251,3.189134919974194e-7,parbhani
total_hhd_having_bpl_cards,0.02599362393588077,0.004972367841637908,5.227614843418023,2.471188213530626e-7,parbhani
total_hhd_having_pmsbhgy_benefit,0.038725397947427465,0.009641286329465917,4.016621498842331,6.753933533106228e-5,parbhani
total_hhd_registered_under_pmjay,-0.017928796301752255,0.008834476579274476,-2.029412398218689,0.04291358493845949,parbhani
total_no_of_lactating_mothers,0.32910446535116417,0.04565732700902436,7.20814131948888,1.955725822193282e-12,parbhani
total_no_of_pregnant_women,-0.18019892296972093,0.0327901177290356,-5.495525342690521,6.050306133277228e-8,parbhani
total_shg,0.1788796567422427,0.05695948889486969,3.1404715915271195,0.0017805031605876796,parbhani
availability_of_middle_school,1.758773221295748,0.7912405485626944,2.2228047140538965,0.0264209844009509,pune
gp_total_no_of_eligible_benefici,-0.007376222834058708,0.0032969400254789943,-2.2372936046924474,0.02545632126374961,pune
is_broadband_available,1.7511480318132515,0.7623156298202998,2.297143024899081,0.021787891320769876,pune
is_primary_school_with_computer_,3.493475954344512,0.8096879842132102,4.314595279241042,1.7349676536949413e-05,pune
is_vocational_edu_centre_availab,5.094715405792471,1.7994986278360998,2.8311860464816663,0.004717604373068682,pune
total_anemic_pregnant_women,-0.028347683368789404,0.006705112874924488,-4.227771239288593,2.5454924459399725e-5,pune
total_hhd_got_benefit_under_stat,0.060163036715043375,0.010996331863984698,5.47119143539947,5.4722185924818075e-8,pune
total_hhd_having_bpl_cards,0.0037564456498148714,0.0015255396899563553,2.4623716279203074,0.013946573465998263,pune
total_hhd_having_piped_water_con,0.008096991797398598,0.0010518718310090532,7.697698102278498,2.950442699144088e-14,pune
total_hhd_registered_under_pmjay,0.006281202778697944,0.003125899723066279,2.0094063582233357,0.04472513322948327,pune
total_no_of_beneficiaries_receiv,-0.11868447158759662,0.03920176076611958,-3.0275291024726263,0.0025200052936105335,pune
total_no_of_farmers_received_ben,0.003476793327703605,0.0014844581849775664,2.342129514248424,0.019342342625869702,pune
total_no_of_newly_born_children,-0.04265833890606896,0.016361935089916516,-2.607169547589656,0.009246445203975127,pune
total_no_of_women_delivered_babi,0.13309353816439762,0.02777850495259756,4.791241947380328,1.8719020673328045e-6,pune
availability_of_govt_degree_coll,5.728384861022264,2.063429256605039,2.7761479307738313,0.005596483817642418,raigarh
gp_total_hhd_receiving_food_grai,0.005307580572494366,0.0017209099396073085,3.084171025071477,0.002093444487024698,raigarh
is_broadband_available,1.9865700779587538,0.6281392294958341,3.16262698566565,0.0016074489908750728,raigarh
is_primary_school_with_computer_,1.6036738634512904,0.5826894186947418,2.7521932130561306,0.006019636340504702,raigarh
total_no_of_newly_born_children,0.06474543659792646,0.02868558305405888,2.2570723584705132,0.024204206612408304,raigarh
total_no_of_women_delivered_babi,0.21926230254528173,0.05509534229604321,3.979688543672566,7.364792586438305e-5,raigarh
total_shg,0.04563327746042728,0.018359484048237843,2.485542477148599,0.013086959024328845,raigarh
gp_total_hhd_receiving_food_grai,-0.010152441562449115,0.0030645698316967996,-3.3128439291683174,9.597724184246674e-4,ratnagiri
