variable,estimate,p_value,adj_r2,rmse,district,theme
is_broadband_available,4.508992580505696,2.3923875060369472e-4,0.02535985979620814,12.50983680646011,akola,Facilities
is_village_connected_to_all_weat,4.606099697132486,2.5908751282775603e-4,0.025060282237762355,12.511759248536075,akola,Facilities
public_transport,5.28043713493525,0.032489087365162865,0.007320548184700737,12.625076359792574,akola,Facilities
recreational_centre,4.078982010869709,6.911437013573317e-4,0.02138153593082559,12.535342373711147,akola,Facilities
telephone_services,4.354890593408679,0.0447713132813542,0.006207332700829071,12.63215341393312,akola,Facilities
total_hhd_having_piped_water_con,0.010092526066254734,2.635168050982004e-7,0.05106925945822649,12.343739711633575,akola,Facilities
weekly_haat,4.849615684503141,3.847552295717662e-5,0.03224790167835612,12.465553249782447,akola,Facilities
sub_centre,7.7388298895128464,7.03180991738841e-6,0.03867033649338414,12.424120907214457,akola,Health
total_no_of_lactating_mothers,0.0930914704035715,4.179676535773933e-5,0.031935253032990496,12.467566690838087,akola,Health
total_no_of_newly_born_children,0.0972239515084604,5.821317386926121e-6,0.03938440755028172,12.419505761359071,akola,Health
total_no_of_pregnant_women,0.09450597011991312,1.4865928604132449e-5,0.035840704694821035,12.442392399876251,akola,Health
total_no_of_women_delivered_babi,0.10225847461403044,7.330179091448945e-5,0.02981505003582552,12.48121211833746,akola,Health
gp_total_hhd_receiving_food_grai,0.00652768993129953,0.001100588911441564,0.01964461784365812,12.546461727818086,akola,Others
gp_total_no_of_eligible_benefici,0.01360831000758831,2.6971290895943557e-5,0.03358971865117255,12.456908322573298,akola,Others
total_hhd_availing_pmjdy_bank_ac,0.011456413621134165,2.3129101741919054e-9,0.0688267724463435,12.227698955374665,akola,Others
total_hhd_got_benefit_under_stat,0.07724438473390212,3.911162136604149e-14,0.10912246271654225,11.960201645197033,akola,Others
total_hhd_having_bpl_cards,0.012805705378217801,3.6521099324851305e-8,0.05850218604017743,12.295300725138807,akola,Others
total_hhd_having_pmsbhgy_benefit,0.046524564332422,4.300253745519399e-10,0.07508561375095646,12.186535689841747,akola,Others
total_hhd_registered_under_pmjay,0.01145976130164262,1.2919147590972563e-5,0.03637120204379607,12.438968917670433,akola,Others
total_no_of_beneficiaries_receiv,0.22116992185644488,1.3698776831147028e-4,0.027457975182554994,12.496364540749212,akola,Others
total_no_of_farmers_received_ben,0.012405977115447213,2.3824409382057806e-6,0.04276061511035434,12.397661572440326,akola,Others
total_shg,0.13753997189912107,3.072496140972114e-7,0.0504906433513298,12.347502472117759,akola,Others
